Product,Release Year,Test Methodology,HDR Brightness Peak 10% Window,HDR Color Gamut Rec.2020 Coverage
LG 32GN50T-B,2020,v1.1,379 cd/m²,56.6%
Corsair XENEON 32QHD165,2021,v1.1,379 cd/m²,82.9%
Dell S2721QS,2020,v2.0,386 cd/m²,61.1%
MSI Optix MAG274QRF-QD,2020,v2.0,390 cd/m²,81.3%
Gigabyte M27Q P,2022,v1.2,390 cd/m²,70.0%
ASUS TUF Gaming VG259QM,2020,v1.2,391 cd/m²,57.6%
Samsung Odyssey G4/G40B S27BG40,2022,v1.2,393 cd/m²,59.4%
Acer Nitro XF243Y Pbmiiprx,2020,v1.2,398 cd/m²,55.8%
LG 27GN750-B,2020,v1.2,398 cd/m²,57.9%
MSI Oculux NXG253R,2021,v1.1,400 cd/m²,58.2%
Dell S2722QC,2021,v2.0,402 cd/m²,59.6%
Acer Nitro XV252Q Fbmiiprx,2021,v1.2,406 cd/m²,58.9%
Samsung Odyssey G7 S28AG70,2021,v1.2,408 cd/m²,63.8%
ASUS ROG Swift Pro PG248QP,2023,v2.0,412 cd/m²,63.5%
ViewSonic Elite XG270,2020,v1.1,414 cd/m²,60.7%
Dell U2723QE,2022,v2.0,415 cd/m²,71.6%
Gigabyte AORUS FI32U,2021,v1.2,425 cd/m²,63.8%
Samsung Odyssey G7/G70B S32BG70,2022,v1.2,429 cd/m²,74.5%
LG 32GP850-B/32GP83B-B,2021,v2.0,430 cd/m²,71.2%
MSI G274QPF-QD,2023,v2.0,431 cd/m²,77.8%
ASUS ROG Swift 360Hz PG259QN,2020,v1.2,433 cd/m²,54.6%
Gigabyte M27Q (rev. 1.0),2020,v2.0,434 cd/m²,73.9%
ASUS ProArt Display PA279CRV,2023,v2.0,436 cd/m²,80.6%
LG 34GN850-B,2020,v1.2,436 cd/m²,71.6%
Dell UltraSharp U2520D,2020,v1.1,436 cd/m²,68.2%
ASUS TUF Gaming VG258QM,2021,v1.1,437 cd/m²,56.3%
Dell U3223QE,2022,v2.0,438 cd/m²,68.6%
Gigabyte M27Q (rev. 2.0),2022,v2.0,441 cd/m²,67.9%
Gigabyte AORUS FI27Q-X,2021,v1.2,441 cd/m²,74.5%
Acer Predator X25 bmiiprzx,2021,v1.1,443 cd/m²,57.3%
Acer Nitro XV272U KVbmiiprzx,2021,v1.2,444 cd/m²,67.8%
Dell Alienware AW2725DF,2024,v2.0,445 cd/m²,80.2%
HP OMEN 34c,2023,v1.2,445 cd/m²,65.1%
MSI MEG 342C QD-OLED,2023,v2.0,446 cd/m²,80.7%
Dell Alienware AW3225QF,2024,v2.0,448 cd/m²,78.3%
Dell Alienware AW2523HF,2022,v1.2,449 cd/m²,57.3%
Dell UltraSharp U2720Q,2020,v1.2,454 cd/m²,66.7%
Lenovo Legion Y32p-30,2023,v2.0,456 cd/m²,63.3%
Samsung Odyssey OLED G8/G85SB S34BG85,2023,v2.0,456 cd/m²,79.9%
Gigabyte M32U,2021,v2.0,456 cd/m²,63.9%
Gigabyte G32QC,2020,v1.2,456 cd/m²,63.7%
Dell G2724D,2023,v2.0,457 cd/m²,62.6%
LG 34GP83A-B,2020,v1.2,457 cd/m²,71.7%
Dell Alienware AW3423DWF,2022,v2.0,459 cd/m²,79.5%
ASUS VG279QM,2020,v1.2,460 cd/m²,57.3%
Gigabyte M32Q,2021,v1.2,460 cd/m²,64.3%
Acer Nitro XV282K KVbmiipruzx,2021,v1.2,460 cd/m²,64.4%
Dell Alienware AW2524H,2023,v1.2,464 cd/m²,63.0%
Samsung Odyssey OLED G9/G95SC S49CG95,2023,v2.0,465 cd/m²,82.7%
ASUS ROG Swift OLED PG32UCDM,2024,v2.0,466 cd/m²,78.7%
Gigabyte AORUS FO32U2P,2024,v2.0,466 cd/m²,78.7%
Dell Alienware AW2521H,2020,v1.2,466 cd/m²,58.3%
MSI MPG 271QRX QD-OLED,2024,v2.0,467 cd/m²,74.5%
Acer Predator XB273U GXbmiipruzx,2020,v1.2,468 cd/m²,83.8%
Gigabyte AORUS FO27Q3,2024,v2.0,472 cd/m²,80.1%
LG 27GP850-B/27GP83B-B,2021,v2.0,472 cd/m²,70.4%
Dell Alienware AW3423DW,2022,v2.0,474 cd/m²,78.9%
HP X27q,2021,v1.2,474 cd/m²,61.3%
Samsung Odyssey G5 S27AG50,2021,v2.0,475 cd/m²,58.7%
ASUS TUF Gaming VG27AQL1A,2020,v2.0,475 cd/m²,69.7%
Samsung Smart Monitor M8/M80C S32CM80,2023,v1.2,478 cd/m²,62.3%
ASUS ROG Swift PG279QM,2021,v1.2,478 cd/m²,83.0%
HP OMEN 27q,2023,v1.2,480 cd/m²,68.6%
Razer Raptor 27 165Hz,2021,v1.1,484 cd/m²,70.9%
Dell S2721DGF,2020,v1.2,485 cd/m²,72.8%
Gigabyte G34WQC,2020,v1.2,487 cd/m²,64.8%
Gigabyte M28U,2021,v1.2,495 cd/m²,65.0%
LG 32GR93U-B,2023,v2.0,500 cd/m²,73.4%
Sony INZONE M3,2023,v1.2,500 cd/m²,60.1%
ASUS TUF Gaming VG34VQL1B,2021,v1.2,501 cd/m²,65.1%
LG 27GR83Q-B,2023,v2.0,504 cd/m²,66.2%
Gigabyte M32UC,2022,v1.2,506 cd/m²,62.0%
ViewSonic XG2431,2021,v2.0,507 cd/m²,55.9%
Gigabyte M27Q X,2022,v1.2,508 cd/m²,73.0%
ASUS ROG Strix XG279Q,2020,v1.1,512 cd/m²,67.9%
Gigabyte G27Q,2020,v1.2,516 cd/m²,69.6%
Gigabyte AORUS FO48U OLED,2021,v1.2,520 cd/m²,70.2%
Dell S3422DWG,2021,v2.0,528 cd/m²,64.4%
Samsung Odyssey G7 C32G75T,2020,v2.0,531 cd/m²,67.6%
LG 27GR93U-B,2023,v2.0,533 cd/m²,70.9%
ASUS ROG Strix XG27UQ,2020,v1.1,544 cd/m²,70.5%
Sony 42 A90K OLED,2022,v1.2,555 cd/m²,70.6%
HP OMEN 27qs,2023,v2.0,585 cd/m²,68.4%
Dell U4025QW,2024,v2.0,588 cd/m²,77.8%
LG 34GS95QE-B,2024,v2.0,588 cd/m²,70.0%
Acer Predator X27U bmiipruzx,2023,v1.2,603 cd/m²,69.1%
Dell Alienware AW2724DM,2023,v2.0,618 cd/m²,72.6%
LG 27GS95QE-B,2024,v2.0,620 cd/m²,70.6%
LG 48GQ900-B,2022,v1.2,621 cd/m²,71.2%
ASUS ROG Strix XG27UQR,2021,v1.2,623 cd/m²,70.5%
Corsair XENEON FLEX 45WQHD240,2022,v1.2,632 cd/m²,71.5%
Corsair XENEON 27QHD240,2023,v2.0,639 cd/m²,69.7%
ASUS ROG Swift 360Hz PG27AQN,2022,v1.2,644 cd/m²,69.0%
LG 27GR95QE-B,2023,v2.0,656 cd/m²,72.5%
LG 27GP950-B,2021,v1.2,656 cd/m²,70.1%
Dell Alienware AW3821DW,2020,v1.2,660 cd/m²,70.4%
Dell G3223Q,2022,v2.0,663 cd/m²,71.4%
LG 45GR95QE-B,2023,v1.2,665 cd/m²,71.3%
Dell Alienware AW2723DF,2022,v2.0,672 cd/m²,68.0%
LG 34GP950G-B,2021,v1.2,673 cd/m²,71.2%
Gigabyte M27U,2023,v1.2,680 cd/m²,68.3%
Samsung Odyssey G6 S32BG65,2022,v1.2,692 cd/m²,65.4%
LG 38WN95C-W,2020,v1.2,692 cd/m²,69.4%
Sony INZONE M9,2022,v1.2,695 cd/m²,67.7%
LG 42 C2 OLED,2022,v1.2,699 cd/m²,69.3%
LG 27GN950-B,2020,v1.2,710 cd/m²,69.4%
ASUS ROG Swift OLED PG34WCDM,2024,v2.0,716 cd/m²,70.1%
LG 48 CX OLED,2020,v1.1,724 cd/m²,68.5%
ASUS ROG Swift PG27UQR,2023,v1.2,728 cd/m²,68.0%
LG 42 OLED Flex,2022,v1.2,731 cd/m²,69.4%
LG 38GN950-B,2020,v1.2,761 cd/m²,70.2%
Samsung 43 QN90B QLED,2022,v1.2,782 cd/m²,72.4%
Dell Alienware AW2721D,2020,v1.2,788 cd/m²,71.9%
LG 48 C1 OLED,2021,v1.2,791 cd/m²,70.2%
ASUS ROG Swift OLED PG42UQ,2022,v1.2,796 cd/m²,68.8%
ASUS ROG Swift OLED PG27AQDM,2023,v2.0,923 cd/m²,67.3%
AOC Q27G3XMN,2023,v2.0,976 cd/m²,69.6%
Gigabyte AORUS FV43U,2021,v1.2,993 cd/m²,78.9%
LG 32GQ950-B,2022,v1.2,1007 cd/m²,68.9%
Samsung Odyssey Neo G9/G95NA S49AG95,2021,v1.2,1019 cd/m²,67.5%
Samsung Odyssey G9,2020,v1.2,1060 cd/m²,65.2%
Samsung Odyssey Neo G7 S32BG75,2022,v2.0,1101 cd/m²,67.9%
Samsung Odyssey Neo G8 S32BG85,2022,v2.0,1124 cd/m²,67.9%
Acer Predator X32 Fpbmiiiiphuzx,2023,v1.2,1138 cd/m²,84.0%
INNOCN 27M2V,2023,v2.0,1175 cd/m²,80.2%
LG 49GR85DC-B,2023,v2.0,1230 cd/m²,65.9%
Samsung Odyssey Neo G9/G95NC S57CG95,2023,v1.2,1291 cd/m²,66.6%
Acer Nitro XV275U P3biipx,2023,v2.0,1319 cd/m²,77.1%
Samsung Odyssey Ark S55BG970,2022,v1.2,1407 cd/m²,69.2%
Acer Nitro XV275K P3biipruzx,2023,v2.0,1412 cd/m²,83.8%
Cooler Master Tempest GP27U,2022,v1.2,1550 cd/m²,82.5%
